,premise,hypothesis,extracted_idiom,base_form,idiom_pos,identity_cql,passive_cql,adj_insertion_cql_1,adj_insertion_cql_2,adv_insertion_cql,adv_insertion_cql_adj,nominalization_cql,infinigram_index,infinigram_query,infinigram_count,infinigram_approx,infinigram_latency,infinigram_token_ids,infinigram_tokens,infinigram_error,infinigram_total_tokens,infinigram_per_billion_tokens
227,Many manufacturers have come to grief on the belief that technical solutions can be bought pre - packaged .,Many manufacturers have failed on the belief that technical solutions can be bought pre - packaged .,come to grief,come to grief,"[come, to, grief]","q[lemma=""come""][lemma=""to""][lemma=""grief""]",,"q[lemma=""come""][lemma=""to""][tag=""J.*""][lemma=""grief""]",,"q[tag=""RB.?""][lemma=""come""][lemma=""to""][lemma=""grief""]",,"q[lemma=""come"" & tag=""N.*""][lemma=""to""][lemma=""of""][lemma=""grief""]",v4_olmo-mix-1124_llama,come to grief,119954,False,632.2846412658691,"[2041,304,867,2575]","[""▁come"",""▁to"",""▁gr"",""ief""]",,4575475702047,26.21672757355795
228,They also help us keep tabs on our progress .,They also help us keep our progress under observation.,keep tabs on,keep tabs on,"[keep, tab, on]","q[lemma=""keep""][lemma=""tab""][lemma=""on""]","q[lemma=""tab""][lemma=""be""][lemma=""keep""][lemma=""on""]","q[lemma=""keep""][tag=""J.*""][lemma=""tab""][lemma=""on""]",,"q[tag=""RB.?""][lemma=""keep""][lemma=""tab""][lemma=""on""]",,"q[lemma=""keep"" & tag=""N.*""][lemma=""of""][lemma=""tab""][lemma=""on""]",v4_olmo-mix-1124_llama,keep tabs on,1591718,False,769.4046497344971,"[3013,18859,373]","[""▁keep"",""▁tabs"",""▁on""]",,4575475702047,347.88033062614426
229,"‘ How could concepts of democracy take root in such a system?’ , asked the author .","‘ How could concepts of democracy began to grow in such a system?’ , asked the author .",take root,take root,"[take, root]","q[lemma=""take""][lemma=""root""]","q[lemma=""root""][lemma=""be""][lemma=""take""]","q[lemma=""take""][tag=""J.*""][lemma=""root""]",,"q[tag=""RB.?""][lemma=""take""][lemma=""root""]",,"q[lemma=""take"" & tag=""N.*""][lemma=""of""][lemma=""root""]",v4_olmo-mix-1124_llama,take root,1694908,False,791.9180393218994,"[2125,3876]","[""▁take"",""▁root""]",,4575475702047,370.43317686983306
230,and just relaxing and erm in any case as I say er guide dogs were few and far between at that time,and just relaxing and erm in any case as I say er guide dogs were scarce at that time,few and far between,few and far between,"[few, and, far, between]","q[lemma=""few""][lemma=""and""][lemma=""far""][lemma=""between""]",,,,"q[tag=""RB.?""][lemma=""few""][lemma=""and""][lemma=""far""][lemma=""between""]",,,v4_olmo-mix-1124_llama,few and far between,3676340,False,55.95231056213379,"[2846,322,2215,1546]","[""▁few"",""▁and"",""▁far"",""▁between""]",,4575475702047,803.4880391464563
231,Janitorial Supply Houses : largely the ‘ jack of all trades’ supplying anything and everything on a commodity basis .,Janitorial Supply Houses : largely the person that can do multipe tasks supplying anything and everything on a commodity basis .,jack of all trades,jack of all trades,"[jack, of, all, trade]","q[lemma=""jack""][lemma=""of""][lemma=""all""][lemma=""trade""]",,"q[lemma=""jack""][lemma=""of""][lemma=""all""][tag=""J.*""][lemma=""trade""]",,"q[tag=""RB.?""][lemma=""jack""][lemma=""of""][lemma=""all""][lemma=""trade""]",,,v4_olmo-mix-1124_llama,jack of all trades,486956,False,742.2277927398682,"[28015,310,599,534,3076]","[""▁jack"",""▁of"",""▁all"",""▁tr"",""ades""]",,4575475702047,106.42740377402575
232,"Silent Scream attempts to do the same for Larry Winters , a Glaswegian murderer who waxed poetic behind bars before topping himself .","Silent Scream attempts to do the same for Larry Winters , a Glaswegian murderer who waxed poetic in jail before topping himself .",behind bars,behind bars,"[behind, bar]","q[lemma=""behind""][lemma=""bar""]",,"q[lemma=""behind""][tag=""J.*""][lemma=""bar""]",,"q[tag=""RB.?""][lemma=""behind""][lemma=""bar""]",,,v4_olmo-mix-1124_llama,behind bars,5159229,False,845.2534675598145,"[5742,22306]","[""▁behind"",""▁bars""]",,4575475702047,1127.5830833702903
233,But leisure journeys weave all over the place .,But leisure journeys weave everywhere .,all over the place,all over the place,"[all, over, the, place]","q[lemma=""all""][lemma=""over""][lemma=""the""][lemma=""place""]",,"q[lemma=""all""][lemma=""over""][lemma=""the""][tag=""J.*""][lemma=""place""]",,"q[tag=""RB.?""][lemma=""all""][lemma=""over""][lemma=""the""][lemma=""place""]",,,v4_olmo-mix-1124_llama,all over the place,15010852,False,829.3149471282959,"[599,975,278,2058]","[""▁all"",""▁over"",""▁the"",""▁place""]",,4575475702047,3280.7194218700292
234,"Before the championship game, he'd felt so nervous that he almost wished he could catch a cold so he'd have a reason not to play.","Before the championship game, he'd felt so nervous that he almost wished he could be infected by a cold so he'd have a reason not to play.",catch a cold,catch a cold,"[catch, a, cold]","q[lemma=""catch""][lemma=""a""][lemma=""cold""]","q[lemma=""a""][lemma=""cold""][lemma=""be""][lemma=""catch""]","q[lemma=""catch""][lemma=""a""][tag=""J.*""][lemma=""cold""]",,"q[tag=""RB.?""][lemma=""catch""][lemma=""a""][lemma=""cold""]",,"q[lemma=""catch"" & tag=""N.*""][lemma=""of""][lemma=""a""][lemma=""cold""]",v4_olmo-mix-1124_llama,catch a cold,490373,False,800.33278465271,"[4380,263,11220]","[""▁catch"",""▁a"",""▁cold""]",,4575475702047,107.17421136792714
235,"So what I 'm saying to you is , do n't go in over the top , you know , five , just a normal but a firm handshake because a man would expect it because a weak ha ha handshake can be irritating and the same thing if she is a woman","So what I 'm saying to you is , do n't go extreme , you know , five , just a normal but a firm handshake because a man would expect it because a weak ha ha handshake can be irritating and the same thing if she is a woman",over the top,over the top,"[over, the, top]","q[lemma=""over""][lemma=""the""][lemma=""top""]",,"q[lemma=""over""][lemma=""the""][tag=""J.*""][lemma=""top""]",,"q[tag=""RB.?""][lemma=""over""][lemma=""the""][lemma=""top""]",,,v4_olmo-mix-1124_llama,over the top,15444106,False,770.7242965698242,"[975,278,2246]","[""▁over"",""▁the"",""▁top""]",,4575475702047,3375.4099039561147
236,"The talks came to grief after the separatists insisted that the government , or perhaps the ruling Socialist party , should publicly acknowledge that its representatives had agreed to negotiate with ETA on the Basque country 's political future .","The talks met with disaster after the separatists insisted that the government , or perhaps the ruling Socialist party , should publicly acknowledge that its representatives had agreed to negotiate with ETA on the Basque country 's political future .",came to grief,come to grief,"[come, to, grief]","q[lemma=""come""][lemma=""to""][lemma=""grief""]",,"q[lemma=""come""][lemma=""to""][tag=""J.*""][lemma=""grief""]",,"q[tag=""RB.?""][lemma=""come""][lemma=""to""][lemma=""grief""]",,"q[lemma=""come"" & tag=""N.*""][lemma=""to""][lemma=""of""][lemma=""grief""]",v4_olmo-mix-1124_llama,come to grief,119954,False,0.8072853088378906,"[2041,304,867,2575]","[""▁come"",""▁to"",""▁gr"",""ief""]",,4575475702047,26.21672757355795
237,In a match at Elland Road Wainwright was given his marching orders for swearing after an offside decision — but refused to go .,In a match at Elland Road Wainwright was given his dismissal for swearing after an offside decision — but refused to go .,marching orders,marching orders,"[march, order]","q[lemma=""march""][lemma=""order""]",,"q[lemma=""march""][tag=""J.*""][lemma=""order""]",,"q[tag=""RB.?""][lemma=""march""][lemma=""order""]",,,v4_olmo-mix-1124_llama,marching orders,726346,False,678.6038875579834,"[8575,292,11299]","[""▁march"",""ing"",""▁orders""]",,4575475702047,158.74764664907818
238,‘ Letting the man have it both ways at once .,‘ Letting the man have both possible benefits at once .,have it both ways,have it both ways,"[have, it, both, way]","q[lemma=""have""][lemma=""it""][lemma=""both""][lemma=""way""]","q[lemma=""it""][lemma=""be""][lemma=""have""][lemma=""both""][lemma=""way""]","q[lemma=""have""][lemma=""it""][lemma=""both""][tag=""J.*""][lemma=""way""]",,"q[tag=""RB.?""][lemma=""have""][lemma=""it""][lemma=""both""][lemma=""way""]",,"q[lemma=""have"" & tag=""N.*""][lemma=""of""][lemma=""it""][lemma=""both""][lemma=""way""]",v4_olmo-mix-1124_llama,have it both ways,1867676,False,782.3967933654785,"[505,372,1716,5837]","[""▁have"",""▁it"",""▁both"",""▁ways""]",,4575475702047,408.1927479506512
239,"Instead of facing the music at Wembley on September 9 , Taylor 's team will play for expenses only on a Spanish Second Division ground that holds only 25,000 spectators and has never before staged a full international match .","Instead of being confronted with the unpleasant consequences at Wembley on September 9 , Taylor 's team will play for expenses only on a Spanish Second Division ground that holds only 25,000 spectators and has never before staged a full international match .",facing the music,face the music,"[face, the, music]","q[lemma=""face""][lemma=""the""][lemma=""music""]","q[lemma=""the""][lemma=""music""][lemma=""be""][lemma=""face""]","q[lemma=""face""][lemma=""the""][tag=""J.*""][lemma=""music""]",,"q[tag=""RB.?""][lemma=""face""][lemma=""the""][lemma=""music""]",,"q[lemma=""face"" & tag=""N.*""][lemma=""of""][lemma=""the""][lemma=""music""]",v4_olmo-mix-1124_llama,face the music,438609,False,643.5127258300781,"[3700,278,4696]","[""▁face"",""▁the"",""▁music""]",,4575475702047,95.86085219593076
240,"Contrary to the truth , he believed that the parties were equally matched and that Otto , after Richard I 's death , was firmly in the saddle .","Contrary to the truth , he believed that the parties were equally matched and that Otto , after Richard I 's death , was firmly in a position of control .",in the saddle,in the saddle,"[in, the, saddle]","q[lemma=""in""][lemma=""the""][lemma=""saddle""]",,"q[lemma=""in""][lemma=""the""][tag=""J.*""][lemma=""saddle""]",,"q[tag=""RB.?""][lemma=""in""][lemma=""the""][lemma=""saddle""]",,,v4_olmo-mix-1124_llama,in the saddle,1392233,False,534.221887588501,"[297,278,269,22352]","[""▁in"",""▁the"",""▁s"",""addle""]",,4575475702047,304.28158527366577
241,What she should be doing was looking on the bright side .,What she should be doing was being optimistic .,looking on the bright side,look on the bright side,"[look, on, the, bright, side]","q[lemma=""look""][lemma=""on""][lemma=""the""][lemma=""bright""][lemma=""side""]",,"q[lemma=""look""][lemma=""on""][lemma=""the""][lemma=""bright""][tag=""J.*""][lemma=""side""]",,"q[tag=""RB.?""][lemma=""look""][lemma=""on""][lemma=""the""][lemma=""bright""][lemma=""side""]","q[lemma=""look""][lemma=""on""][lemma=""the""][tag=""RB.?""][lemma=""bright""][lemma=""side""]","q[lemma=""look"" & tag=""N.*""][lemma=""on""][lemma=""of""][lemma=""the""][lemma=""bright""][lemma=""side""]",v4_olmo-mix-1124_llama,look on the bright side,491169,False,759.3173980712891,"[1106,373,278,11785,2625]","[""▁look"",""▁on"",""▁the"",""▁bright"",""▁side""]",,4575475702047,107.34818234970808
242,"It 's easier said than done , but I would if I could go back over it again .","It 's more easier to talk about than to put into practice , but I would if I could go back over it again .",easier said than done,easier said than done,"[easier, say, than, do]","q[lemma=""easier""][lemma=""say""][lemma=""than""][lemma=""do""]",,,,"q[tag=""RB.?""][lemma=""easier""][lemma=""say""][lemma=""than""][lemma=""do""]",,"q[lemma=""say"" & tag=""N.*""][lemma=""of""][lemma=""than""][lemma=""do""]",v4_olmo-mix-1124_llama,easier said than done,3380969,False,853.6036014556885,"[6775,1497,1135,2309]","[""▁easier"",""▁said"",""▁than"",""▁done""]",,4575475702047,738.9327842976862
243,"I get a few letters of this sort from people who think the advert for the B.A.E.C. in your classified section , which says it ‘ exists to help electronics enthusiasts’ , is a general invitation to all and sundry to send their problems to me .","I get a few letters of this sort from people who think the advert for the B.A.E.C. in your classified section , which says it ‘ exists to help electronics enthusiasts’ , is a general invitation to everyone to send their problems to me .",all and sundry,all and sundry,"[all, and, sundry]","q[lemma=""all""][lemma=""and""][lemma=""sundry""]",,,,"q[tag=""RB.?""][lemma=""all""][lemma=""and""][lemma=""sundry""]","q[lemma=""all""][lemma=""and""][tag=""RB.?""][lemma=""sundry""]",,v4_olmo-mix-1124_llama,all and sundry,783216,False,766.6676044464111,"[599,322,480,299,719]","[""▁all"",""▁and"",""▁su"",""nd"",""ry""]",,4575475702047,171.176955359986
244,"They keep a low profile here , but this person and her colleagues have been chosen to perform some of the most important jobs on the station , though they 're never seen .","They stay out of public notice here , but this person and her colleagues have been chosen to perform some of the most important jobs on the station , though they 're never seen .",keep a low profile,keep a low profile,"[keep, a, low, profile]","q[lemma=""keep""][lemma=""a""][lemma=""low""][lemma=""profile""]","q[lemma=""a""][lemma=""low""][lemma=""profile""][lemma=""be""][lemma=""keep""]","q[lemma=""keep""][lemma=""a""][lemma=""low""][tag=""J.*""][lemma=""profile""]",,"q[tag=""RB.?""][lemma=""keep""][lemma=""a""][lemma=""low""][lemma=""profile""]","q[lemma=""keep""][lemma=""a""][tag=""RB.?""][lemma=""low""][lemma=""profile""]","q[lemma=""keep"" & tag=""N.*""][lemma=""of""][lemma=""a""][lemma=""low""][lemma=""profile""]",v4_olmo-mix-1124_llama,keep a low profile,479338,False,777.5082588195801,"[3013,263,4482,8722]","[""▁keep"",""▁a"",""▁low"",""▁profile""]",,4575475702047,104.76244028255931
245,"Marjorie Bilbow , in Cinema TV Today , described the production as ' very plodding and unimaginative ' , and Clyde Jeavons wrote in the British Film Institute 's Monthly Film Bulletin , ' Apart from accommodating a number of half - hearted and totally unmemorable songs and dance routines , William Sterling has taken few liberties with the original narrative , but at the same time he has divested it of both its charm and its potential for cinematic comic invention .","Marjorie Bilbow , in Cinema TV Today , described the production as ' very plodding and unimaginative ' , and Clyde Jeavons wrote in the British Film Institute 's Monthly Film Bulletin , ' Apart from accommodating a number of half - hearted and totally unmemorable songs and dance routines , William Sterling has remained faithful to the original narrative , but at the same time he has divested it of both its charm and its potential for cinematic comic invention .",taken few liberties,take liberties,"[take, liberty]","q[lemma=""take""][lemma=""liberty""]","q[lemma=""liberty""][lemma=""be""][lemma=""take""]","q[lemma=""take""][tag=""J.*""][lemma=""liberty""]",,"q[tag=""RB.?""][lemma=""take""][lemma=""liberty""]",,"q[lemma=""take"" & tag=""N.*""][lemma=""of""][lemma=""liberty""]",v4_olmo-mix-1124_llama,take liberties,205727,False,701.8744945526123,"[2125,17176,583]","[""▁take"",""▁libert"",""ies""]",,4575475702047,44.96297508649446
246,Armies are the main conventional weapon and have been around for over five millennia in various forms .,Armies are the main conventional weapon and have existed for over five millennia in various forms .,have been around,be around,"[be, around]","q[lemma=""be""][lemma=""around""]",,,,"q[tag=""RB.?""][lemma=""be""][lemma=""around""]",,,v4_olmo-mix-1124_llama,be around,20153669,False,893.8603401184082,"[367,2820]","[""▁be"",""▁around""]",,4575475702047,4404.715555801891
247,"Much given to allusions and cryptic references , all made , for good measure , in a Macedonian dialect.’","Much given to allusions and cryptic references , all made , in addition , in a Macedonian dialect.’",for good measure,for good measure,"[for, good, measure]","q[lemma=""for""][lemma=""good""][lemma=""measure""]",,"q[lemma=""for""][lemma=""good""][tag=""J.*""][lemma=""measure""]",,"q[tag=""RB.?""][lemma=""for""][lemma=""good""][lemma=""measure""]","q[lemma=""for""][tag=""RB.?""][lemma=""good""][lemma=""measure""]",,v4_olmo-mix-1124_llama,for good measure,3512726,False,826.5607357025146,"[363,1781,5645]","[""▁for"",""▁good"",""▁measure""]",,4575475702047,767.7291343561192
248," Shelley , Miguel Rafaelo is not a goldfield , where women can stake their claims !"," Shelley , Miguel Rafaelo is not a goldfield , where women can assert things !",stake their claims,stake a claim,"[stake, a, claim]","q[lemma=""stake""][lemma=""a""][lemma=""claim""]","q[lemma=""a""][lemma=""claim""][lemma=""be""][lemma=""stake""]","q[lemma=""stake""][lemma=""a""][tag=""J.*""][lemma=""claim""]",,"q[tag=""RB.?""][lemma=""stake""][lemma=""a""][lemma=""claim""]",,"q[lemma=""stake"" & tag=""N.*""][lemma=""of""][lemma=""a""][lemma=""claim""]",v4_olmo-mix-1124_llama,stake a claim,229847,False,690.7134056091309,"[380,1296,263,5995]","[""▁st"",""ake"",""▁a"",""▁claim""]",,4575475702047,50.23455810226899
249,"Lord Williams of Elvel quoted the ACC chairperson , who described the new system thus : ‘ The man who pays the piper calls the tune .","Lord Williams of Elvel quoted the ACC chairperson , who described the new system thus : ‘ The man who pays the piper is in a position of control .",calls the tune,call the tune,"[call, the, tune]","q[lemma=""call""][lemma=""the""][lemma=""tune""]","q[lemma=""the""][lemma=""tune""][lemma=""be""][lemma=""call""]","q[lemma=""call""][lemma=""the""][tag=""J.*""][lemma=""tune""]",,"q[tag=""RB.?""][lemma=""call""][lemma=""the""][lemma=""tune""]",,"q[lemma=""call"" & tag=""N.*""][lemma=""of""][lemma=""the""][lemma=""tune""]",v4_olmo-mix-1124_llama,call the tune,58793,False,548.2127666473389,"[1246,278,260,1540]","[""▁call"",""▁the"",""▁t"",""une""]",,4575475702047,12.8495928792053
250,"It was an image that spread and took root everywhere , bringing with it a tradition of atrocious performances — sloppy , flat and prettifying — that lasted throughout his lifetime , for the entire 19th century and for too much of the 20th .","It was an image that spread and begin to grow everywhere , bringing with it a tradition of atrocious performances — sloppy , flat and prettifying — that lasted throughout his lifetime , for the entire 19th century and for too much of the 20th .",took root,take root,"[take, root]","q[lemma=""take""][lemma=""root""]","q[lemma=""root""][lemma=""be""][lemma=""take""]","q[lemma=""take""][tag=""J.*""][lemma=""root""]",,"q[tag=""RB.?""][lemma=""take""][lemma=""root""]",,"q[lemma=""take"" & tag=""N.*""][lemma=""of""][lemma=""root""]",v4_olmo-mix-1124_llama,take root,1694908,False,11.515140533447266,"[2125,3876]","[""▁take"",""▁root""]",,4575475702047,370.43317686983306
251,"If one decides to give away £ 5 m to encourage the arts , I do not think that it is a very sensible way to give it to my noble friend Lord Archer , who is a very rich man already , and who gets £ 6,000 a year out of the pockets of taxpayers who are very much poorer than he is . '","If one decides to give away £ 5 m to encourage the arts , I do not think that it is a very sensible way to give it to my noble friend Lord Archer , who is a very rich man already , and who gets £ 6,000 a year from taxpayers who are very much poorer than he is . '",out of the pockets of,out of the pockets of,"[out, of, the, pocket, of]","q[lemma=""out""][lemma=""of""][lemma=""the""][lemma=""pocket""][lemma=""of""]",,"q[lemma=""out""][lemma=""of""][lemma=""the""][tag=""J.*""][lemma=""pocket""][lemma=""of""]",,"q[tag=""RB.?""][lemma=""out""][lemma=""of""][lemma=""the""][lemma=""pocket""][lemma=""of""]",,,v4_olmo-mix-1124_llama,out of the pockets of,184950,False,576.3273239135742,"[714,310,278,772,9737,310]","[""▁out"",""▁of"",""▁the"",""▁po"",""ckets"",""▁of""]",,4575475702047,40.42202648289797
252,"Inevitably , the use of the soundtrack as a radio commercial involves some loss of effect , and it seems to me that in general a radio commercial is going to have a much better chance of achieving its desired effect if it is created from scratch .","Inevitably , the use of the soundtrack as a radio commercial involves some loss of effect , and it seems to me that in general a radio commercial is going to have a much better chance of achieving its desired effect if it is created from original materials .",from scratch,from scratch,"[from, scratch]","q[lemma=""from""][lemma=""scratch""]",,"q[lemma=""from""][tag=""J.*""][lemma=""scratch""]",,"q[tag=""RB.?""][lemma=""from""][lemma=""scratch""]",,,v4_olmo-mix-1124_llama,from scratch,20745512,False,36.82136535644531,"[515,22728]","[""▁from"",""▁scratch""]",,4575475702047,4534.066696216693
253,"CA 's proprietary Masterpiece financial software , Generator development tools and CA - DB underlying database technology may also make the move .","CA 's proprietary Masterpiece financial software , Generator development tools and CA - DB underlying database technology may also take action .",make the move,make a move,"[make, a, move]","q[lemma=""make""][lemma=""a""][lemma=""move""]","q[lemma=""a""][lemma=""move""][lemma=""be""][lemma=""make""]","q[lemma=""make""][lemma=""a""][tag=""J.*""][lemma=""move""]",,"q[tag=""RB.?""][lemma=""make""][lemma=""a""][lemma=""move""]",,"q[lemma=""make"" & tag=""N.*""][lemma=""of""][lemma=""a""][lemma=""move""]",v4_olmo-mix-1124_llama,make a move,2157966,False,804.2302131652832,"[1207,263,4337]","[""▁make"",""▁a"",""▁move""]",,4575475702047,471.63751717325437
254,Kookai : It 's not all plain sailing on the journey from rags to riches,Kookai : It 's not all plain sailing on the journey from poor to rich .,from rags to riches,from rags to riches,"[from, rag, to, rich]","q[lemma=""from""][lemma=""rag""][lemma=""to""][lemma=""rich""]",,"q[lemma=""from""][tag=""J.*""][lemma=""rag""][lemma=""to""][lemma=""rich""]",,"q[tag=""RB.?""][lemma=""from""][lemma=""rag""][lemma=""to""][lemma=""rich""]",,,v4_olmo-mix-1124_llama,from rags to riches,96333,False,539.1542911529541,"[515,1153,3174,304,8261,267]","[""▁from"",""▁ra"",""gs"",""▁to"",""▁rich"",""es""]",,4575475702047,21.054204256161178
255,Belfast Telegraph Plan 82 could fit the bill because it covers 20 selections with a fine guarantee of at least seven 1 - 1 draws together if eight of your 20 selections end as 1 - 1 draws .,Belfast Telegraph Plan 82 could be suitable because it covers 20 selections with a fine guarantee of at least seven 1 - 1 draws together if eight of your 20 selections end as 1 - 1 draws .,fit the bill,fit the bill,"[fit, the, bill]","q[lemma=""fit""][lemma=""the""][lemma=""bill""]","q[lemma=""the""][lemma=""bill""][lemma=""be""][lemma=""fit""]","q[lemma=""fit""][lemma=""the""][tag=""J.*""][lemma=""bill""]",,"q[tag=""RB.?""][lemma=""fit""][lemma=""the""][lemma=""bill""]",,"q[lemma=""fit"" & tag=""N.*""][lemma=""of""][lemma=""the""][lemma=""bill""]",v4_olmo-mix-1124_llama,fit the bill,1851542,False,706.4554691314697,"[6216,278,11118]","[""▁fit"",""▁the"",""▁bill""]",,4575475702047,404.66655722194037
256,‘ I was counting on a serious heart to heart with Charles 's CO .,‘ I was counting on a serious conversation with Charles 's CO .,heart to heart,heart to heart,"[heart, to, heart]","q[lemma=""heart""][lemma=""to""][lemma=""heart""]",,"q[tag=""J.*""][lemma=""heart""][lemma=""to""][lemma=""heart""]","q[lemma=""heart""][lemma=""to""][tag=""J.*""][lemma=""heart""]","q[tag=""RB.?""][lemma=""heart""][lemma=""to""][lemma=""heart""]",,,v4_olmo-mix-1124_llama,heart to heart,466430,False,697.9329586029053,"[5192,304,5192]","[""▁heart"",""▁to"",""▁heart""]",,4575475702047,101.9413128543828
257,"JUNIOR and senior teams from Grangefield School , Stockton , have swept the board with their energy plans .","JUNIOR and senior teams from Grangefield School , Stockton , have won every prize in the contest with their energy plans .",swept the board,sweep the board,"[sweep, the, board]","q[lemma=""sweep""][lemma=""the""][lemma=""board""]","q[lemma=""the""][lemma=""board""][lemma=""be""][lemma=""sweep""]","q[lemma=""sweep""][lemma=""the""][tag=""J.*""][lemma=""board""]",,"q[tag=""RB.?""][lemma=""sweep""][lemma=""the""][lemma=""board""]",,"q[lemma=""sweep"" & tag=""N.*""][lemma=""of""][lemma=""the""][lemma=""board""]",v4_olmo-mix-1124_llama,sweep the board,18823,False,627.3431777954102,"[7901,1022,278,7613]","[""▁swe"",""ep"",""▁the"",""▁board""]",,4575475702047,4.113889183496017
258,Board of Trade President Michael Heseltine warned rebels they would be left with a lame duck administration if they did not ratify Maastricht .,Board of Trade President Michael Heseltine warned rebels they would be left with a failing administration if they did not ratify Maastricht .,lame duck,lame duck,"[lame, duck]","q[lemma=""lame""][lemma=""duck""]",,"q[lemma=""lame""][tag=""J.*""][lemma=""duck""]",,"q[tag=""RB.?""][lemma=""lame""][lemma=""duck""]",,,v4_olmo-mix-1124_llama,lame duck,984042,False,703.2449245452881,"[301,420,868,384]","[""▁l"",""ame"",""▁du"",""ck""]",,4575475702047,215.06878499207286
259,"He turned to stare at Tallis , who pulled a face .","He turned to stare at Tallis , who expressed dislike .",pulled a face,pull a face,"[pull, a, face]","q[lemma=""pull""][lemma=""a""][lemma=""face""]","q[lemma=""a""][lemma=""face""][lemma=""be""][lemma=""pull""]","q[lemma=""pull""][lemma=""a""][tag=""J.*""][lemma=""face""]",,"q[tag=""RB.?""][lemma=""pull""][lemma=""a""][lemma=""face""]",,"q[lemma=""pull"" & tag=""N.*""][lemma=""of""][lemma=""a""][lemma=""face""]",v4_olmo-mix-1124_llama,pull a face,31095,False,614.2377853393555,"[8206,263,3700]","[""▁pull"",""▁a"",""▁face""]",,4575475702047,6.796014671455595
260,"I remember when I was about two - and - a - half or three , they used to come in and say to her , ‘ Mrs McGuigan , we do n't want to alarm you but your son is on top of that thirty - foot pole out there,’ and my mother would say , ‘ Oh , that 's old hat , let 's hear something new.’","I remember when I was about two - and - a - half or three , they used to come in and say to her , ‘ Mrs McGuigan , we do n't want to alarm you but your son is on top of that thirty - foot pole out there,’ and my mother would say , ‘ Oh , that 's uninteresting , let 's hear something new.’",old hat,old hat,"[old, hat]","q[lemma=""old""][lemma=""hat""]",,"q[lemma=""old""][tag=""J.*""][lemma=""hat""]",,"q[tag=""RB.?""][lemma=""old""][lemma=""hat""]",,,v4_olmo-mix-1124_llama,old hat,969985,False,675.0104427337646,"[2030,3056]","[""▁old"",""▁hat""]",,4575475702047,211.99653613416484
261,"So scum are now 13 points ahead , and our 14 match unbeaten run goes up in smoke .","So scum are now 13 points ahead , and our 14 match unbeaten run comes to nothing .",goes up in smoke,go up in smoke,"[go, up, in, smoke]","q[lemma=""go""][lemma=""up""][lemma=""in""][lemma=""smoke""]",,"q[lemma=""go""][lemma=""up""][lemma=""in""][tag=""J.*""][lemma=""smoke""]",,"q[tag=""RB.?""][lemma=""go""][lemma=""up""][lemma=""in""][lemma=""smoke""]",,"q[lemma=""go"" & tag=""N.*""][lemma=""up""][lemma=""of""][lemma=""in""][lemma=""smoke""]",v4_olmo-mix-1124_llama,go up in smoke,252354,False,809.9122047424316,"[748,701,297,25158]","[""▁go"",""▁up"",""▁in"",""▁smoke""]",,4575475702047,55.153609467776334
262,"In the past , some terminal manufacturers have developed proprietary solutions to the problem of adding windowing functionality to character - based applications , but these have tended to fall by the wayside .","In the past , some terminal manufacturers have developed proprietary solutions to the problem of adding windowing functionality to character - based applications , but these have tended to fail to persist .",fall by the wayside,fall by the wayside,"[fall, by, the, wayside]","q[lemma=""fall""][lemma=""by""][lemma=""the""][lemma=""wayside""]",,"q[lemma=""fall""][lemma=""by""][lemma=""the""][tag=""J.*""][lemma=""wayside""]",,"q[tag=""RB.?""][lemma=""fall""][lemma=""by""][lemma=""the""][lemma=""wayside""]",,"q[lemma=""fall"" & tag=""N.*""][lemma=""by""][lemma=""of""][lemma=""the""][lemma=""wayside""]",v4_olmo-mix-1124_llama,fall by the wayside,691759,False,640.44189453125,"[6416,491,278,982,2975]","[""▁fall"",""▁by"",""▁the"",""▁way"",""side""]",,4575475702047,151.18843264548804
263,Pattenism is not to be a continuation of Ridleyism : an important theme underlying the whole speech was that he intends not to err on the side of market forces at the expense of planning restrictions .,Pattenism is not to be a continuation of Ridleyism : an important theme underlying the whole speech was that he intends not to lean heavily towards the market forces at the expense of planning restrictions .,err on the side of,err on the side of,"[err, on, the, side, of]","q[lemma=""err""][lemma=""on""][lemma=""the""][lemma=""side""][lemma=""of""]",,"q[lemma=""err""][lemma=""on""][lemma=""the""][tag=""J.*""][lemma=""side""][lemma=""of""]",,"q[tag=""RB.?""][lemma=""err""][lemma=""on""][lemma=""the""][lemma=""side""][lemma=""of""]",,,v4_olmo-mix-1124_llama,err on the side of,1964363,False,853.0242443084717,"[4589,373,278,2625,310]","[""▁err"",""▁on"",""▁the"",""▁side"",""▁of""]",,4575475702047,429.3243212112728
264,"In the first half , Petersfield had weathered a varied storm with a mixture of luck and determination .","In the first half , Petersfield had got through a variety of difficulties with a mixture of luck and determination .",weathered a varied storm,weather the storm,"[weather, the, storm]","q[lemma=""weather""][lemma=""the""][lemma=""storm""]","q[lemma=""the""][lemma=""storm""][lemma=""be""][lemma=""weather""]","q[lemma=""weather""][lemma=""the""][tag=""J.*""][lemma=""storm""]",,"q[tag=""RB.?""][lemma=""weather""][lemma=""the""][lemma=""storm""]",,"q[lemma=""weather"" & tag=""N.*""][lemma=""of""][lemma=""the""][lemma=""storm""]",v4_olmo-mix-1124_llama,weather the storm,555479,False,740.3168678283691,"[14826,278,14280]","[""▁weather"",""▁the"",""▁storm""]",,4575475702047,121.4035514933424
